Position;TimePoint;SeedX;SeedY;CentroidX;CentroidY;Area;Eccentricity;SumCh00;StdDevCh00
1;1;1019;1997;1023.09;2013.43;814;0.830112;45.3176;0.00487145
1;1;907;1745;916.432;1761.18;957;0.855808;58.0157;0.00302708
1;1;1318;2000;1315.36;2017.83;863;0.66031;51.7922;0.0033591
1;1;950;921;944.826;941.223;1175;0.740238;70.6627;0.00342572
1;1;1011;920;1026.62;942.477;1124;0.926767;62.3176;0.00481022
1;1;1011;1689;1011.97;1703.13;916;0.833987;52.7882;0.00430372
1;1;1012;1497;1007.58;1515.85;1173;0.62601;69.4196;0.0039203
1;1;1322;1108;1327.81;1126.9;1317;0.894339;76.2784;0.0038673
1;1;1671;913;1661.63;935.439;1406;0.961813;81.5098;0.00468214
1;1;1049;900;1052.61;911.996;778;0.951089;41.7059;0.00386336
1;1;1224;1097;1236.9;1118.59;1360;0.957483;80.3882;0.00386459
1;1;1495;952;1515.25;969.572;1090;0.922896;62.5137;0.004372
1;1;1398;956;1378.61;972.173;1203;0.984501;65.6157;0.00490694
1;1;1673;797;1679.13;824.11;1364;0.969901;81.2353;0.00359795
1;1;1602;784;1629.21;815.508;1320;0.992981;75.8745;0.00469828
1;1;1306;985;1314.36;1000.28;1110;0.909997;64.0588;0.00411585
1;1;1273;1032;1249.96;1054.6;962;0.985067;52.5098;0.00375197
1;1;1418;724;1434.46;739.747;1220;0.931755;70.6471;0.00392064
1;1;1321;556;1327.77;580.742;1265;0.892511;74.6157;0.00401336
1;1;1239;527;1248.5;538.402;901;0.977019;54.3059;0.00357015
1;1;1238;495;1247.73;508.302;988;0.986389;53.949;0.00408562
1;1;1289;576;1294.96;608.538;1477;0.985575;86.6235;0.00361904
1;1;1188;897;1199.72;935.751;1260;0.983491;72.3255;0.002768
1;1;1136;536;1134.51;548.571;678;0.875829;35.8706;0.00427744
1;1;1029;863;1035.83;877.325;1082;0.968799;60.8275;0.00391107
1;1;1227;309;1240.8;330.457;1132;0.956027;63.5725;0.00530611
1;1;1101;908;1136.15;928.376;1158;0.995737;62.4627;0.00379645
1;1;1124;488;1128.83;506.767;550;0.948901;29.0902;0.00356385
1;1;1005;667;999.49;683.644;1091;0.947428;62.6;0.00394645
1;1;1057;824;1050.6;839.826;1365;0.976384;76.8745;0.00403345
1;1;986;442;1011.32;457.357;1167;0.954547;64.7765;0.00407696
1;1;968;590;953.435;604.438;1072;0.997825;60.498;0.00344233
1;1;874;925;881.936;954.427;2433;0.868767;150.478;0.00342117
1;1;929;734;930.452;771.323;1618;0.97087;93.8157;0.0062738
1;1;952;805;953.662;823.684;1127;0.814763;62.4549;0.00467257
1;1;771;1884;780.912;1903.01;837;0.964372;42.8627;0.00420264
1;1;740;1974;738.063;1994.04;1332;0.360029;78.098;0.00430745
1;1;830;1811;832.739;1834.73;1150;0.968054;65.5569;0.00560113
1;1;699;1802;705.791;1823.51;1260;0.534809;74.3843;0.00347455
1;1;580;1544;582.952;1563.27;1089;0.734679;65.9608;0.00329692
1;1;703;1318;706.043;1338.17;1078;0.412362;64.5569;0.00378427
1;1;657;1981;659.369;2006.58;1814;0.750737;111.533;0.00307073
1;1;541;1991;532.807;2015.48;1962;0.754102;113.957;0.00316191
1;1;649;1506;646.587;1523.13;1002;0.942652;54.298;0.00486559
1;1;620;1497;597.803;1508.85;846;0.993779;45.6275;0.00491504
1;1;623;1324;625.26;1349.75;1328;0.920784;79.4431;0.00419151
1;1;570;1453;586.951;1470.98;1136;0.856577;67.3725;0.00329389
1;1;648;1040;665.741;1057.03;1412;0.706987;83.0118;0.00313527
1;1;772;918;774.804;939.987;1398;0.856081;84.5333;0.00298309
1;1;630;1134;618.852;1149;663;0.949987;34.9098;0.00431691
1;1;590;1111;598.128;1124.29;869;0.95697;49.6863;0.00452111
1;1;789;103;799.842;117.433;1082;0.849667;65.6;0.00306141
1;1;796;50;806.087;68.4271;981;0.772031;57.349;0.00466125
1;1;906;391;922.339;409.042;1538;0.917672;91.6941;0.00386206
1;1;874;397;851.174;413.522;1530;0.980605;89.5765;0.00505879
1;1;1554;1286;1555.91;1304.15;1020;0.420689;49.7059;0.00480761
1;1;1880;1729;1882.76;1745.16;902;0.262695;44.2824;0.00586481
1;1;899;1632;902.165;1649.44;987;0.476428;46.0863;0.00657228
1;1;719;1041;724.272;1058.16;1058;0.414279;49.7961;0.00626532
1;1;1491;1586;1494.38;1604.32;888;0.761071;41.3529;0.00622514
1;1;1732;512;1732.14;529.9;952;0.492561;46.7725;0.00428839
1;1;589;359;594.298;376.288;1019;0.40638;46.7647;0.00650017
1;1;1131;422;1127.34;439.481;965;0.745451;47.6353;0.00553132
1;1;721;299;724.6;315.266;870;0.415624;38.5412;0.00691179
1;1;191;763;194.868;779.6;994;0.475661;45.7373;0.00663474
1;1;919;1296;922.219;1313.55;1035;0.475998;48.9451;0.00583527
1;1;890;1357;886.805;1377.23;1146;0.552128;60.7765;0.00513847
1;1;784;1433;783.274;1447.72;584;0.536587;28.0431;0.00630283
1;1;962;1623;968.093;1638.78;913;0.488352;42.9765;0.00565283
1;1;1339;1738;1347.83;1755.5;853;0.624146;38.8863;0.00725986
1;1;1955;739;1942.57;751.572;542;0.991599;28.5216;0.00371661
1;1;1180;274;1181.06;290.368;892;0.415786;42.5216;0.00555113
1;1;985;943;986.951;961.677;1007;0.489853;50.5412;0.00499189
1;1;1923;1781;1928.58;1795.48;638;0.722901;29.4;0.00394114
1;1;1882;1773;1894.76;1788.7;413;0.99577;21.4863;0.00880013
1;1;1896;727;1896.67;744.585;1110;0.747419;67.1686;0.00670105
1;1;1163;21;1149.83;52.4554;1581;0.989813;95.8902;0.00555772
1;1;1199;10;1206.25;25.423;1175;0.872586;70.7843;0.00519125
1;1;1573;77;1580.01;114.31;1945;0.954561;126.263;0.00481989
1;1;1525;122;1548.14;151.417;1312;0.973177;79.0706;0.00342702
1;1;1982;11;1993.76;24.2;790;0.945805;45.0863;0.00361178
1;1;1997;643;2001.97;668.183;1744;0.550154;110.188;0.00448951
1;1;1935;1242;1934.6;1257.95;1115;0.919941;67.1294;0.00572534
1;1;1849;1235;1874.88;1262.63;1292;0.994575;77;0.00478076
1;1;2002;1081;1983.8;1118.37;1933;0.990745;122.933;0.00419304
1;1;1913;1128;1902.83;1153.54;1703;0.889659;106.459;0.00399576
1;1;1901;1447;1894.75;1482.15;1068;0.996367;62.0314;0.00397413
1;1;1850;1427;1856.87;1447.34;1071;0.90553;64.5294;0.00518703
1;1;1894;1314;1902.24;1337.68;1025;0.961717;61.5608;0.00444773
1;1;1914;1288;1921.24;1311.66;853;0.988452;51.4314;0.00449212
1;1;1739;1651;1737.3;1668.61;784;0.876326;43.5255;0.00488644
1;1;1792;1741;1790.79;1759.57;1078;0.529882;67.6353;0.00420278
1;1;1821;1380;1817.75;1402.28;1429;0.861836;87.4627;0.00482391
1;1;1762;1678;1769.69;1695.67;1090;0.88207;68.2353;0.00511204
1;1;1709;1771;1723.73;1791.83;1174;0.950875;69.4824;0.00722364
1;1;1743;1734;1741.52;1749.6;929;0.860756;56.7412;0.00464693
1;1;1683;1858;1686.08;1868.84;644;0.909942;34.4549;0.00353289
1;1;1710;1824;1719.27;1840.58;815;0.952225;45.1922;0.00470165
1;1;1552;1622;1552.09;1644.04;1229;0.745513;77.2863;0.00387406
1;1;1549;1489;1564.6;1509.56;1367;0.818532;78.4627;0.00559676
1;1;1652;1826;1658.37;1843.24;1110;0.958854;67.4039;0.00443005
1;1;1588;1566;1593.59;1609.34;1886;0.968425;121.263;0.00358227
1;1;1498;1733;1509.36;1753.81;2072;0.930439;130.122;0.00607661
1;1;1458;1776;1454.68;1794.77;1068;0.477119;60.2745;0.00497958
1;1;1553;1565;1545.04;1589.93;1601;0.95724;102.384;0.00347563
1;1;1537;1673;1545.33;1696.82;1578;0.866769;100.361;0.00366448
1;1;1322;1690;1325.66;1707.47;846;0.854639;46.1373;0.00476129
1;1;1276;1739;1278.42;1758.04;1108;0.494033;67.2824;0.00342568
1;1;1431;1694;1443.62;1726.28;1609;0.93537;98.902;0.00728251
1;1;1355;1691;1366.87;1713.21;1108;0.577139;67.1529;0.00488927
